username,slide,text,is_animal,animal_conf,popular_label,popular_confidence,localization,movement,color_choice,form_clear
anonymous,1,бабочка,1,0.508,other,0.373,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",1
anonymous,2,чашка,1,0.508,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,3,чашка,1,0.508,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,4,часы,0,0.499,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,5,кит,1,0.504,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,6,кит,1,0.504,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,7,кит,1,0.504,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,8,кит,1,0.504,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,9,кит,1,0.504,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
anonymous,10,кит,1,0.504,other,0.050,Отдельные пятна или мелкие детали,1,"Важнее форма, цвет вторичен",0
